tradeItemId,tradeItemName
fa3d2194-4d49-4c9e-803e-69bdf545fdc2,Gypsophila Xlence 80/30
22977ebf-60bb-4953-aaa6-3d68fe6bbc22,Rosa Tropical Amazon 60cm
6dd2eb1c-a4ac-443d-b03c-c6cc1630925b,Bandolero 60
24fd0cca-99fd-4721-b739-1755d5a650c1,Rosa Moonwalk 40cm
37a951d2-e15e-4086-80ae-dc7ea2249923,Rosa Red Calypso 40cm
92d82e14-5eda-499d-8468-3f16b45c9314,Dinara 60
33551d19-4827-4720-9dd0-7d7386c2f1cf,Odilia 60
6099b6ac-129d-44ba-b79a-5f21b6729fc2,Mirabel 50
d4f6a4ce-4937-4247-ae0a-9d06744dc490,Rosa spray Cherokee 60cm
f0b7ab4a-b19f-4c24-b0dc-315b7b98a35a,Sweet Flow 50
074263e9-a251-4abb-96c6-454aed4902d7,Eyeliner 50
537d894a-c3c7-4f02-8163-8e530bec7b1f,Nikita - Length 70
c1f308ea-7ef6-4516-964b-5ea145fcb89c,Silver Shadow 60
3b1f52d1-6238-4c70-b398-709eb829c831,Lady Bombastic 50
b5ce3267-3511-45f9-9aaf-cc7cc2f52504,Alstroemeria Mix 60cm
8ee0913c-3230-4675-80f2-791b70d8d3c2,Rosa Athena 50cm
012d24b9-4b21-44b0-885d-dc27675310ac,Reflex - Length 70
bb17eeeb-7029-4902-82dd-5585aaac0a7c,Reflex 50
db25aa7c-dad8-47d9-81c3-02d10b000a9b,Rosa Confidential 40cm
e26aa32b-ad4e-43c8-ba47-f7f995032888,Rosa large flowered Imani 50cm
65b4363f-4bed-4cdd-81ef-a363c8e2f910,Amazing Magic 60
f0e751f3-72a8-41c6-bd30-497709f97083,Rosa Athena 40cm
3be9b4c3-1d23-49ff-8728-b972a2c2e7e7,Rosa large flowered Yelloween 70cm
fb432458-a114-45bd-b48e-ea0de7d634fb,Rosa large flowered Silantoi 50cm
613ca527-08f6-40e0-bbdf-98363630c070,Ice Flow 60
8c177512-a264-4f81-b4f9-7615b793c88c,Rosa spray Marisa 50cm
5d623f6f-c893-49f7-898b-7fff227bd39f,Sofie 60
5f80b46c-1095-4b03-9149-ef6cbcaf0618,Rosa Copacabana 40cm
939c0105-a4be-4dbd-946d-9ebdc754807e,Rosa large flowered Madam Cerise 40cm
c93f36aa-6102-4dea-89ce-b8a57be7af08,Giselle 70cm
c8173a6a-270e-4d48-912c-ffac1c941e6e,Fire Works - Length 70
dd70ddb0-c6e0-4209-8f86-a19fc72a6053,Rosa spray Bombastic
bd04dd54-1dc3-48c1-89a8-7a426b5d1a4a,Leather Fern 50cm
d25ad7ce-a81a-4a1d-920a-0bb9c252a8e3,Smashing 50
